  simno it age mass belief forage env state info
   1   10   16 10.00 0.902 0.708    0    1 0.000000042115119
   1   10   17 10.00 0.880 0.710    0    1 0.000000071003945
   1   10   18 10.00 0.854 0.716    0    1 0.000000102614237
   1   10   19 10.00 0.823 0.720    0    1 0.000000151145087
   1   10   20 10.00 0.786 0.726    0    1 0.000000222440945
   1   10   21 10.00 0.743 0.734    0    1 0.000000318165067
   1   10   22 10.00 0.694 0.744    0    1 0.000000444380982
   1   10   23 10.00 0.638 0.756    0    1 0.000000604202180
   1   10   24 10.00 0.577 0.770    0    1 0.000000799379372
   1   10   25 11.00 0.670 0.788    0    1 0.000001007389254
   1   10   26 11.00 0.612 0.764    0    1 0.000000727678789
   1   10   27 11.00 0.548 0.778    0    1 0.000000945796059
   1   10   28 12.00 0.644 0.798    0    1 0.000001172431952
   1   10   29 13.00 0.729 0.770    0    1 0.000000882369493
   1   10   30 13.00 0.678 0.749    0    1 0.000000589102069
   1   10   31 13.00 0.620 0.762    0    1 0.000000795704417
   1   10   32 13.00 0.557 0.778    0    1 0.000001032592410
   1   10   33 13.00 0.489 0.796    0    1 0.000001294308542
   1   10   34 13.00 0.419 0.817    0    1 0.000001508316405
   1   10   35 13.00 0.348 0.840    0    1 0.000001613148563
   1   10   36 13.00 0.281 0.864    0    1 0.000001557774212
   1   10   37 14.00 0.367 0.891    0    1 0.000001333232637
   1   10   38 14.00 0.298 0.860    0    1 0.000001693966118
   1   10   39 15.00 0.387 0.884    0    1 0.000001486737043
   1   10   40 15.00 0.317 0.855    0    1 0.000001846018823
   1   10   41 16.00 0.409 0.880    0    1 0.000001696826318
   1   10   42 16.00 0.338 0.848    0    1 0.000001987512896
   1   10   43 17.00 0.432 0.874    0    1 0.000001871368495
   1   10   44 18.00 0.531 0.840    0    1 0.000002089056071
   1   10   45 18.00 0.461 0.808    0    0 0.000001945789205
   1   11    1  1.00 0.500 0.000    0    1 0.000000000000000
   1   11    2  2.00 0.598 0.804    0    1 0.000000725800000
   1   11    3  3.00 0.690 0.778    0    1 0.000000578154265
   1   11    4  4.00 0.768 0.754    0    1 0.000000407145147
   1   11    5  5.00 0.832 0.738    0    1 0.000000253579176
   1   11    6  5.00 0.796 0.724    0    1 0.000000144358933
   1   11    7  5.00 0.755 0.732    0    1 0.000000212202841
   1   11    8  6.00 0.822 0.740    0    1 0.000000298983733
   1   11    9  7.00 0.873 0.726    0    1 0.000000175736226
   1   11   10  8.00 0.911 0.716    0    1 0.000000093892291
   1   11   11  8.00 0.891 0.709    0    1 0.000000047995217
   1   11   12  8.00 0.867 0.713    0    1 0.000000076968857
   1   11   13  8.00 0.838 0.718    0    1 0.000000110371679
   1   11   14  9.00 0.885 0.724    0    1 0.000000162565915
   1   11   15  9.00 0.860 0.714    0    1 0.000000081735428
   1   11   16  9.00 0.830 0.720    0    1 0.000000122980781
   1   11   17 10.00 0.879 0.724    0    1 0.000000188238705
   1   11   18 10.00 0.853 0.716    0    1 0.000000102794159
   1   11   19 10.00 0.821 0.720    0    1 0.000000153689627
   1   11   20 10.00 0.784 0.727    0    1 0.000000221707284
   1   11   21 10.00 0.741 0.736    0    1 0.000000319649683
   1   11   22 10.00 0.691 0.745    0    1 0.000000448921025
   1   11   23 11.00 0.769 0.757    0    1 0.000000613580271
   1   11   24 12.00 0.833 0.738    0    1 0.000000382812468
   1   11   25 12.00 0.798 0.724    0    1 0.000000219206215
   1   11   26 12.00 0.757 0.732    0    1 0.000000321966214
   1   11   27 12.00 0.709 0.742    0    1 0.000000449749414
   1   11   28 13.00 0.784 0.754    0    1 0.000000624553175
   1   11   29 13.00 0.741 0.736    0    1 0.000000383795571
   1   11   30 14.00 0.810 0.746    0    1 0.000000536969995
   1   11   31 14.00 0.771 0.730    0    1 0.000000319372036
   1   11   32 15.00 0.834 0.739    0    1 0.000000456973447
   1   11   33 15.00 0.799 0.726    0    1 0.000000256519768
   1   11   34 15.00 0.758 0.733    0    1 0.000000383739056
   1   11   35 16.00 0.824 0.742    0    1 0.000000542126580
   1   11   36 16.00 0.787 0.728    0    1 0.000000319902500
   1   11   37 16.00 0.744 0.736    0    1 0.000000455155509
   1   11   38 16.00 0.695 0.746    0    1 0.000000640106251
   1   11   39 17.00 0.773 0.758    0    1 0.000000878753902
   1   11   40 17.00 0.727 0.740    0    1 0.000000545970557
   1   11   41 17.00 0.676 0.750    0    1 0.000000770145817
   1   11   42 17.00 0.618 0.766    0    1 0.000001059677541
   1   11   43 17.00 0.554 0.780    0    1 0.000001373500465
   1   11   44 17.00 0.485 0.800    0    1 0.000001714317665
   1   11   45 17.00 0.414 0.823    0    1 0.000001994222465
   1   11   46 18.00 0.513 0.848    0    1 0.000002115587978
   1   11   47 18.00 0.442 0.815    0    1 0.000002028951495
   1   11   48 19.00 0.541 0.838    0    1 0.000002228322625
   1   11   49 19.00 0.472 0.806    0    1 0.000002045116527
   1   11   50 20.00 0.571 0.830    0    1 0.000002345512564
   1   11   51 20.00 0.503 0.798    0    1 0.000002028989999
   1   11   52 21.00 0.601 0.820    0    1 0.000002397819621
   1   11   53 21.00 0.535 0.789    0    1 0.000001958169013
   1   11   54 21.00 0.465 0.812    0    1 0.000002416682437
   1   11   55 22.00 0.564 0.836    0    1 0.000002736926211
   1   11   56 23.00 0.659 0.804    0    1 0.000002431931222
   1   11   57 24.00 0.742 0.774    0    1 0.000001772769414
   1   11   58 25.00 0.811 0.750    0    1 0.000001137356717
   1   11   59 26.00 0.865 0.732    0    1 0.000000647846503
   1   11   60 27.00 0.905 0.719    0    1 0.000000355609420
   1   11   61 28.00 0.934 0.710    0    1 0.000000156529611
   1   11   62 29.00 0.955 0.704    0    1 0.000000077049750
   1   11   63 29.00 0.945 0.700    0    1 0.000000034798808
   1   11   64 30.00 0.962 0.702    0    1 0.000000044706252
   1   11   65 31.00 0.974 0.700    0    0 0.000000022756928
   1   12    1  1.00 0.500 0.000    0    1 0.000000000000000
   1   12    2  2.00 0.598 0.804    0    1 0.000000725800000
   1   12    3  3.00 0.690 0.778    0    1 0.000000578154265
   1   12    4  4.00 0.768 0.754    0    1 0.000000407145147
   1   12    5  5.00 0.832 0.738    0    1 0.000000253579176
   1   12    6  6.00 0.881 0.724    0    1 0.000000144358933
   1   12    7  7.00 0.917 0.714    0    1 0.000000079353441
   1   12    8  7.00 0.898 0.708    0    1 0.000000040925391
   1   12    9  8.00 0.929 0.712    0    1 0.000000059301905
   1   12   10  9.00 0.951 0.706    0    1 0.000000030807324
   1   12   11  9.00 0.940 0.702    0    1 0.000000013103682
   1   12   12  9.00 0.926 0.704    0    1 0.000000026198250
   1   12   13 10.00 0.949 0.706    0    1 0.000000036792920
   1   12   14 10.00 0.937 0.702    0    1 0.000000015665545
